jurisdiction,n_seasons_available,cv_outside_fraction,outside_fraction_2324,outside_fraction_2425,outside_fraction_2526,rank_corr_2324_vs_2425,rank_corr_2425_vs_2526,datasource,age_group
Alabama,3,0.15344594578833823,0.09587513935340021,0.09600477042337509,0.12391681109185444,0.29824729891956775,0.807250900360144,nssp,
Alaska,3,0.32318251159067385,0.059701492537313425,0.07496325330720235,0.11127819548872181,0.29824729891956775,0.807250900360144,nssp,
Arizona,3,0.6270938078081781,0.06233766233766235,0.07354685646500594,0.1829787234042553,0.29824729891956775,0.807250900360144,nssp,
Arkansas,3,0.40240076539893727,0.0414727041895895,0.06207616066770994,0.09407985314364387,0.29824729891956775,0.807250900360144,nssp,
California,3,0.426397539401664,0.050320219579139985,0.07845433255269323,0.12078651685393259,0.29824729891956775,0.807250900360144,nssp,
Colorado,3,0.359219296963656,0.05750560119492159,0.10311750599520385,0.12424503882657467,0.29824729891956775,0.807250900360144,nssp,
Connecticut,3,0.6754978310713077,0.025470653377630124,0.051876379690949236,0.1067193675889328,0.29824729891956775,0.807250900360144,nssp,
Delaware,3,0.18818400819400766,0.057854917668001785,0.05730129390018485,0.07862679955703211,0.29824729891956775,0.807250900360144,nssp,
District of Columbia,3,0.4193351016012132,0.10291164658634537,0.04088471849865953,0.08878504672897197,0.29824729891956775,0.807250900360144,nssp,
Florida,3,0.2873650703119674,0.24908958485069196,0.15813253012048192,0.1539708265802269,0.29824729891956775,0.807250900360144,nssp,
Georgia,3,0.5220368579147345,0.18215613382899631,0.07142857142857144,0.08872651356993737,0.29824729891956775,0.807250900360144,nssp,
Hawaii,3,0.27389157142921505,0.10784313725490201,0.14147130153597415,0.18724778046811943,0.29824729891956775,0.807250900360144,nssp,
Idaho,3,0.3650692641902865,0.07228116710875332,0.10693454309786135,0.15283400809716602,0.29824729891956775,0.807250900360144,nssp,
Illinois,3,0.3006451599542667,0.06498388829215897,0.06131207847946044,0.10278372591006422,0.29824729891956775,0.807250900360144,nssp,
Indiana,3,0.46617771752909976,0.06041222459132908,0.0679062247372676,0.13463414634146342,0.29824729891956775,0.807250900360144,nssp,
Iowa,3,0.29945307211961253,0.08487530168946096,0.0971993410214168,0.1469038208168643,0.29824729891956775,0.807250900360144,nssp,
Kansas,3,0.28154400425120696,0.06551724137931035,0.093944099378882,0.11740473738414009,0.29824729891956775,0.807250900360144,nssp,
Kentucky,3,0.3611899787964294,0.05824372759856631,0.10519877675840981,0.12645348837209305,0.29824729891956775,0.807250900360144,nssp,
Louisiana,3,0.2751435904053236,0.09710610932475885,0.056541748849441166,0.0707635009310987,0.29824729891956775,0.807250900360144,nssp,
Maine,3,0.9148477892871469,0.03931623931623932,0.12539851222104145,0.336231884057971,0.29824729891956775,0.807250900360144,nssp,
Maryland,3,0.1899934637868118,0.0606060606060606,0.056457304163726185,0.07982832618025751,0.29824729891956775,0.807250900360144,nssp,
Massachusetts,3,0.43001406753434485,0.062020082693443584,0.04943679599499375,0.10948905109489053,0.29824729891956775,0.807250900360144,nssp,
Michigan,3,0.7093783857010434,0.04605263157894737,0.08445297504798464,0.19387755102040813,0.29824729891956775,0.807250900360144,nssp,
Minnesota,3,0.5842282401373715,0.053763440860215055,0.08146399055489961,0.16653061224489796,0.29824729891956775,0.807250900360144,nssp,
Mississippi,3,0.3355141023725893,0.15500327011118376,0.08031837916063678,0.10495626822157435,0.29824729891956775,0.807250900360144,nssp,
Montana,3,0.49229099465563936,0.11366538952745851,0.1591463414634146,0.29204545454545455,0.29824729891956775,0.807250900360144,nssp,
Nebraska,3,0.6720550371404582,0.07632999228989977,0.12665862484921594,0.2862547288776798,0.29824729891956775,0.807250900360144,nssp,
Nevada,3,0.3968362040202918,0.05436573311367382,0.05785837651122625,0.10602409638554217,0.29824729891956775,0.807250900360144,nssp,
New Hampshire,3,0.5503289699040963,0.043385490753911814,0.06646341463414633,0.12771084337349398,0.29824729891956775,0.807250900360144,nssp,
New Jersey,3,0.24501856921829948,0.05936920222634509,0.05863453815261046,0.08815903197925669,0.29824729891956775,0.807250900360144,nssp,
New Mexico,3,0.6353198598369015,0.034892638036809816,0.07264722069345074,0.13748854262144825,0.29824729891956775,0.807250900360144,nssp,
New York,3,0.41111259144099616,0.049450549450549455,0.06387434554973824,0.10758776896942243,0.29824729891956775,0.807250900360144,nssp,
North Carolina,3,0.3704402138075839,0.051254089422028346,0.06392931392931393,0.10293066476054323,0.29824729891956775,0.807250900360144,nssp,
North Dakota,3,0.5537892631455006,0.10593220338983052,0.14568880079286425,0.29820051413881743,0.29824729891956775,0.807250900360144,nssp,
Ohio,3,0.45195662348979476,0.04824120603015076,0.06564102564102565,0.11463414634146343,0.29824729891956775,0.807250900360144,nssp,
Oklahoma,3,0.5518348033272135,0.03940605368360936,0.04429390307451797,0.10032894736842105,0.29824729891956775,0.807250900360144,nssp,
Oregon,3,0.5613974334402824,0.058267716535433084,0.07843137254901962,0.16435185185185186,0.29824729891956775,0.807250900360144,nssp,
Pennsylvania,3,0.5246779085434675,0.034565916398713835,0.058978873239436624,0.1021566401816118,0.29824729891956775,0.807250900360144,nssp,
Rhode Island,3,0.5236899972894511,0.04170212765957447,0.04966887417218544,0.10450623202301057,0.29824729891956775,0.807250900360144,nssp,
South Carolina,3,0.27754537214370334,0.10243553008595987,0.07244094488188978,0.060165975103734455,0.29824729891956775,0.807250900360144,nssp,
South Dakota,3,0.31566792386473175,0.11979166666666664,0.1713100177830468,0.22923076923076927,0.29824729891956775,0.807250900360144,nssp,
Tennessee,3,0.22096631719315832,0.09969167523124359,0.06614077669902911,0.10053859964093356,0.29824729891956775,0.807250900360144,nssp,
Texas,3,0.26257105712958384,0.112493239588967,0.06777713957495692,0.0814814814814815,0.29824729891956775,0.807250900360144,nssp,
Utah,3,0.5650224151969758,0.04994511525795827,0.07836570663094442,0.15233644859813084,0.29824729891956775,0.807250900360144,nssp,
Vermont,3,0.6964072735129735,0.04001952171791118,0.10856372218476062,0.20225563909774438,0.29824729891956775,0.807250900360144,nssp,
Virginia,3,0.12235405048307187,0.08352849336455895,0.07671721677074042,0.0973360655737705,0.29824729891956775,0.807250900360144,nssp,
Washington,3,0.4945031144845492,0.04009720534629404,0.07937584803256445,0.11857379767827529,0.29824729891956775,0.807250900360144,nssp,
West Virginia,3,0.6059452212982566,0.03848821081830791,0.14482758620689648,0.17849462365591398,0.29824729891956775,0.807250900360144,nssp,
Wisconsin,3,0.6046736732980283,0.05237808549066827,0.0968681718863802,0.18462980318650424,0.29824729891956775,0.807250900360144,nssp,
Wyoming,3,0.3206036515864445,0.12883804936785068,0.15722851432378415,0.23660346248969497,0.29824729891956775,0.807250900360144,nssp,
Alabama,2,0.21451178248257,,0.08043217286914765,0.10919540229885058,,0.6147197901978325,nhsn,rsv_ped_0_4
Alaska,2,0.7174606272504332,,0.06285714285714286,0.19230769230769232,,0.6147197901978325,nhsn,rsv_ped_0_4
Arizona,2,0.9640655515308236,,0.026417171161254815,0.13957055214723926,,0.6147197901978325,nhsn,rsv_ped_0_4
Arkansas,2,0.42508153319884934,,0.13636363636363635,0.07333333333333333,,0.6147197901978325,nhsn,rsv_ped_0_4
California,2,0.5075560732587188,,0.0519774011299435,0.11017235552551538,,0.6147197901978325,nhsn,rsv_ped_0_4
Colorado,2,0.005085445970636863,,0.08624338624338625,0.08686587908269632,,0.6147197901978325,nhsn,rsv_ped_0_4
Connecticut,2,0.6446557549279066,,0.025440313111545987,0.06806282722513089,,0.6147197901978325,nhsn,rsv_ped_0_4
Delaware,2,0.7583645771182701,,0.03441682600382409,0.01038961038961039,,0.6147197901978325,nhsn,rsv_ped_0_4
District of Columbia,2,0.430412823330942,,0.06666666666666667,0.125,,0.6147197901978325,nhsn,rsv_ped_0_4
Florida,2,0.2611014194869085,,0.12238463743192891,0.1778082191780822,,0.6147197901978325,nhsn,rsv_ped_0_4
Georgia,2,0.4306017937735246,,0.039901477832512314,0.07483731019522777,,0.6147197901978325,nhsn,rsv_ped_0_4
Hawaii,2,0.028209667168998448,,0.10780669144981413,0.11219512195121951,,0.6147197901978325,nhsn,rsv_ped_0_4
Idaho,2,0.08610745421094412,,0.07974137931034483,0.07058823529411765,,0.6147197901978325,nhsn,rsv_ped_0_4
Illinois,2,0.5942641359770563,,0.037238493723849374,0.09121621621621621,,0.6147197901978325,nhsn,rsv_ped_0_4
Indiana,2,0.37283871782725064,,0.05657604702424688,0.0970873786407767,,0.6147197901978325,nhsn,rsv_ped_0_4
Iowa,2,0.3082420580530363,,0.06966618287373004,0.10849909584086799,,0.6147197901978325,nhsn,rsv_ped_0_4
Kansas,2,0.4553664569002068,,0.04963235294117647,0.0967741935483871,,0.6147197901978325,nhsn,rsv_ped_0_4
Kentucky,2,0.062241263124630415,,0.08656716417910448,0.09453781512605042,,0.6147197901978325,nhsn,rsv_ped_0_4
Louisiana,2,0.06297436185514443,,0.049370764762826716,0.04516129032258064,,0.6147197901978325,nhsn,rsv_ped_0_4
Maine,2,0.31759277382598206,,0.09210526315789473,0.14545454545454545,,0.6147197901978325,nhsn,rsv_ped_0_4
Maryland,2,0.5258131884560373,,0.029769959404600813,0.06500956022944551,,0.6147197901978325,nhsn,rsv_ped_0_4
Massachusetts,2,0.6127530777993698,,0.048184818481848184,0.12186379928315412,,0.6147197901978325,nhsn,rsv_ped_0_4
Michigan,2,0.5752287529482719,,0.053776196124950576,0.12751677852348994,,0.6147197901978325,nhsn,rsv_ped_0_4
Minnesota,2,0.3970184968532703,,0.06594982078853047,0.11743119266055047,,0.6147197901978325,nhsn,rsv_ped_0_4
Mississippi,2,0.49219351634439057,,0.05301645338208409,0.02564102564102564,,0.6147197901978325,nhsn,rsv_ped_0_4
Missouri,2,0.11071524539218963,,0.11158798283261803,0.09538461538461539,,0.6147197901978325,nhsn,rsv_ped_0_4
Montana,2,0.337266224057012,,0.14802631578947367,0.24074074074074073,,0.6147197901978325,nhsn,rsv_ped_0_4
Nebraska,2,0.36667577258364703,,0.08348794063079777,0.14193548387096774,,0.6147197901978325,nhsn,rsv_ped_0_4
Nevada,2,0.13053047036625956,,0.04354587869362364,0.05240174672489083,,0.6147197901978325,nhsn,rsv_ped_0_4
New Hampshire,2,0.34077435237905895,,0.047619047619047616,0.02912621359223301,,0.6147197901978325,nhsn,rsv_ped_0_4
New Jersey,2,0.27835182968648303,,0.03883029721955897,0.05786163522012579,,0.6147197901978325,nhsn,rsv_ped_0_4
New Mexico,2,0.4413185921913815,,0.05090497737556561,0.0970873786407767,,0.6147197901978325,nhsn,rsv_ped_0_4
New York,2,0.4989917888653737,,0.04512677366829495,0.0943342776203966,,0.6147197901978325,nhsn,rsv_ped_0_4
North Carolina,2,0.11715733321783428,,0.055845511482254695,0.06593406593406594,,0.6147197901978325,nhsn,rsv_ped_0_4
North Dakota,2,0.5320518068180546,,0.13709677419354838,0.30246913580246915,,0.6147197901978325,nhsn,rsv_ped_0_4
Ohio,2,0.17740095323113927,,0.05012224938875306,0.06450071667462971,,0.6147197901978325,nhsn,rsv_ped_0_4
Oklahoma,2,0.0824152940723167,,0.030555555555555555,0.027190332326283987,,0.6147197901978325,nhsn,rsv_ped_0_4
Oregon,2,0.0838466538956381,,0.05042016806722689,0.04477611940298507,,0.6147197901978325,nhsn,rsv_ped_0_4
Pennsylvania,2,0.3556524037771148,,0.040927694406548434,0.06842923794712286,,0.6147197901978325,nhsn,rsv_ped_0_4
Rhode Island,2,0.7789414023575375,,0.016339869281045753,0.05641025641025641,,0.6147197901978325,nhsn,rsv_ped_0_4
South Carolina,2,0.1024575663908588,,0.05815279361459521,0.05029585798816568,,0.6147197901978325,nhsn,rsv_ped_0_4
South Dakota,2,0.4485194757410019,,0.17624521072796934,0.09137055837563451,,0.6147197901978325,nhsn,rsv_ped_0_4
Tennessee,2,0.2586942715022834,,0.04898758981058132,0.07092198581560284,,0.6147197901978325,nhsn,rsv_ped_0_4
Texas,2,0.19984664359106816,,0.0376121001204658,0.0499916401939475,,0.6147197901978325,nhsn,rsv_ped_0_4
Utah,2,0.022798284138035644,,0.06078824315297261,0.06278026905829596,,0.6147197901978325,nhsn,rsv_ped_0_4
Vermont,2,0.6248850624439257,,0.0967741935483871,0.25,,0.6147197901978325,nhsn,rsv_ped_0_4
Virginia,2,0.29989404469149183,,0.04581151832460733,0.07046979865771812,,0.6147197901978325,nhsn,rsv_ped_0_4
Washington,2,0.3455383263228973,,0.06072874493927125,0.1,,0.6147197901978325,nhsn,rsv_ped_0_4
West Virginia,2,0.3213540053106267,,0.1297709923664122,0.20608899297423888,,0.6147197901978325,nhsn,rsv_ped_0_4
Wisconsin,2,0.3267283382135734,,0.06725468577728776,0.10766721044045677,,0.6147197901978325,nhsn,rsv_ped_0_4
Wyoming,2,0.3264471422469183,,0.11851851851851852,0.1896551724137931,,0.6147197901978325,nhsn,rsv_ped_0_4
