window_name,season,jurisdiction,total_burden,inside_burden,coverage,missed_fraction,metric_label
late_oct_apr,2025-2026,Massachusetts,1201.0,1104.0,0.9192339716902581,0.08076602830974189,"Pediatric RSV hospital admissions, ages 0-4"
baseline_oct_mar,2025-2026,Michigan,1467.0,1170.0,0.7975460122699386,0.2024539877300614,"Pediatric RSV hospital admissions, ages 0-4"
early_sep_mar,2025-2026,Michigan,1467.0,1171.0,0.798227675528289,0.201772324471711,"Pediatric RSV hospital admissions, ages 0-4"
late_oct_apr,2025-2026,Michigan,1467.0,1348.0,0.9188820722563054,0.08111792774369464,"Pediatric RSV hospital admissions, ages 0-4"
baseline_oct_mar,2025-2026,Minnesota,1170.0,962.0,0.8222222222222222,0.1777777777777778,"Pediatric RSV hospital admissions, ages 0-4"
early_sep_mar,2025-2026,Minnesota,1170.0,967.0,0.8264957264957264,0.17350427350427355,"Pediatric RSV hospital admissions, ages 0-4"
late_oct_apr,2025-2026,Minnesota,1170.0,1061.0,0.9068376068376068,0.09316239316239316,"Pediatric RSV hospital admissions, ages 0-4"
baseline_oct_mar,2025-2026,Mississippi,462.0,418.0,0.9047619047619048,0.09523809523809523,"Pediatric RSV hospital admissions, ages 0-4"
early_sep_mar,2025-2026,Mississippi,462.0,418.0,0.9047619047619048,0.09523809523809523,"Pediatric RSV hospital admissions, ages 0-4"
late_oct_apr,2025-2026,Mississippi,462.0,426.0,0.922077922077922,0.07792207792207795,"Pediatric RSV hospital admissions, ages 0-4"
baseline_oct_mar,2025-2026,Missouri,722.0,627.0,0.868421052631579,0.13157894736842102,"Pediatric RSV hospital admissions, ages 0-4"
early_sep_mar,2025-2026,Missouri,722.0,628.0,0.8698060941828255,0.1301939058171745,"Pediatric RSV hospital admissions, ages 0-4"
late_oct_apr,2025-2026,Missouri,722.0,686.0,0.9501385041551247,0.049861495844875314,"Pediatric RSV hospital admissions, ages 0-4"
baseline_oct_mar,2025-2026,Montana,203.0,123.0,0.6059113300492611,0.3940886699507389,"Pediatric RSV hospital admissions, ages 0-4"
early_sep_mar,2025-2026,Montana,203.0,123.0,0.6059113300492611,0.3940886699507389,"Pediatric RSV hospital admissions, ages 0-4"
late_oct_apr,2025-2026,Montana,203.0,162.0,0.7980295566502463,0.20197044334975367,"Pediatric RSV hospital admissions, ages 0-4"
baseline_oct_mar,2025-2026,Nebraska,359.0,266.0,0.7409470752089137,0.2590529247910863,"Pediatric RSV hospital admissions, ages 0-4"
early_sep_mar,2025-2026,Nebraska,359.0,267.0,0.7437325905292479,0.2562674094707521,"Pediatric RSV hospital admissions, ages 0-4"
late_oct_apr,2025-2026,Nebraska,359.0,311.0,0.8662952646239555,0.13370473537604455,"Pediatric RSV hospital admissions, ages 0-4"
baseline_oct_mar,2025-2026,Nevada,473.0,434.0,0.9175475687103594,0.08245243128964064,"Pediatric RSV hospital admissions, ages 0-4"
early_sep_mar,2025-2026,Nevada,473.0,435.0,0.919661733615222,0.08033826638477803,"Pediatric RSV hospital admissions, ages 0-4"
late_oct_apr,2025-2026,Nevada,473.0,456.0,0.9640591966173362,0.03594080338266381,"Pediatric RSV hospital admissions, ages 0-4"
baseline_oct_mar,2025-2026,New Hampshire,109.0,100.0,0.9174311926605505,0.08256880733944949,"Pediatric RSV hospital admissions, ages 0-4"
early_sep_mar,2025-2026,New Hampshire,109.0,100.0,0.9174311926605505,0.08256880733944949,"Pediatric RSV hospital admissions, ages 0-4"
late_oct_apr,2025-2026,New Hampshire,109.0,103.0,0.944954128440367,0.05504587155963303,"Pediatric RSV hospital admissions, ages 0-4"
baseline_oct_mar,2025-2026,New Jersey,1628.0,1498.0,0.9201474201474201,0.07985257985257987,"Pediatric RSV hospital admissions, ages 0-4"
early_sep_mar,2025-2026,New Jersey,1628.0,1521.0,0.9342751842751843,0.0657248157248157,"Pediatric RSV hospital admissions, ages 0-4"
late_oct_apr,2025-2026,New Jersey,1628.0,1549.0,0.9514742014742015,0.048525798525798525,"Pediatric RSV hospital admissions, ages 0-4"
baseline_oct_mar,2025-2026,New Mexico,639.0,558.0,0.8732394366197183,0.12676056338028174,"Pediatric RSV hospital admissions, ages 0-4"
early_sep_mar,2025-2026,New Mexico,639.0,558.0,0.8732394366197183,0.12676056338028174,"Pediatric RSV hospital admissions, ages 0-4"
late_oct_apr,2025-2026,New Mexico,639.0,618.0,0.9671361502347418,0.032863849765258246,"Pediatric RSV hospital admissions, ages 0-4"
baseline_oct_mar,2025-2026,New York,3637.0,3197.0,0.8790211712950233,0.12097882870497667,"Pediatric RSV hospital admissions, ages 0-4"
early_sep_mar,2025-2026,New York,3637.0,3284.0,0.9029419851525983,0.09705801484740173,"Pediatric RSV hospital admissions, ages 0-4"
late_oct_apr,2025-2026,New York,3637.0,3367.0,0.9257629914764917,0.07423700852350834,"Pediatric RSV hospital admissions, ages 0-4"
baseline_oct_mar,2025-2026,North Carolina,1658.0,1453.0,0.876357056694813,0.12364294330518699,"Pediatric RSV hospital admissions, ages 0-4"
early_sep_mar,2025-2026,North Carolina,1658.0,1462.0,0.8817852834740652,0.11821471652593485,"Pediatric RSV hospital admissions, ages 0-4"
late_oct_apr,2025-2026,North Carolina,1658.0,1522.0,0.9179734620024126,0.08202653799758741,"Pediatric RSV hospital admissions, ages 0-4"
baseline_oct_mar,2025-2026,North Dakota,190.0,113.0,0.5947368421052631,0.4052631578947369,"Pediatric RSV hospital admissions, ages 0-4"
early_sep_mar,2025-2026,North Dakota,190.0,113.0,0.5947368421052631,0.4052631578947369,"Pediatric RSV hospital admissions, ages 0-4"
late_oct_apr,2025-2026,North Dakota,190.0,158.0,0.8315789473684211,0.16842105263157892,"Pediatric RSV hospital admissions, ages 0-4"
baseline_oct_mar,2025-2026,Ohio,2180.0,1958.0,0.8981651376146789,0.10183486238532113,"Pediatric RSV hospital admissions, ages 0-4"
early_sep_mar,2025-2026,Ohio,2180.0,1965.0,0.9013761467889908,0.0986238532110092,"Pediatric RSV hospital admissions, ages 0-4"
late_oct_apr,2025-2026,Ohio,2180.0,2062.0,0.9458715596330275,0.05412844036697251,"Pediatric RSV hospital admissions, ages 0-4"
baseline_oct_mar,2025-2026,Oklahoma,361.0,322.0,0.8919667590027701,0.10803324099722988,"Pediatric RSV hospital admissions, ages 0-4"
early_sep_mar,2025-2026,Oklahoma,361.0,322.0,0.8919667590027701,0.10803324099722988,"Pediatric RSV hospital admissions, ages 0-4"
late_oct_apr,2025-2026,Oklahoma,361.0,339.0,0.9390581717451524,0.06094182825484762,"Pediatric RSV hospital admissions, ages 0-4"
baseline_oct_mar,2025-2026,Oregon,286.0,256.0,0.8951048951048951,0.1048951048951049,"Pediatric RSV hospital admissions, ages 0-4"
early_sep_mar,2025-2026,Oregon,286.0,257.0,0.8986013986013986,0.10139860139860135,"Pediatric RSV hospital admissions, ages 0-4"
late_oct_apr,2025-2026,Oregon,286.0,269.0,0.9405594405594405,0.05944055944055948,"Pediatric RSV hospital admissions, ages 0-4"
baseline_oct_mar,2025-2026,Pennsylvania,2714.0,2396.0,0.8828297715549005,0.1171702284450995,"Pediatric RSV hospital admissions, ages 0-4"
early_sep_mar,2025-2026,Pennsylvania,2714.0,2411.0,0.8883566691230655,0.11164333087693445,"Pediatric RSV hospital admissions, ages 0-4"
late_oct_apr,2025-2026,Pennsylvania,2714.0,2558.0,0.9425202652910832,0.05747973470891676,"Pediatric RSV hospital admissions, ages 0-4"
baseline_oct_mar,2025-2026,Rhode Island,200.0,184.0,0.92,0.07999999999999996,"Pediatric RSV hospital admissions, ages 0-4"
early_sep_mar,2025-2026,Rhode Island,200.0,185.0,0.925,0.07499999999999996,"Pediatric RSV hospital admissions, ages 0-4"
late_oct_apr,2025-2026,Rhode Island,200.0,194.0,0.97,0.030000000000000027,"Pediatric RSV hospital admissions, ages 0-4"
baseline_oct_mar,2025-2026,South Carolina,708.0,642.0,0.9067796610169492,0.09322033898305082,"Pediatric RSV hospital admissions, ages 0-4"
early_sep_mar,2025-2026,South Carolina,708.0,648.0,0.9152542372881356,0.0847457627118644,"Pediatric RSV hospital admissions, ages 0-4"
late_oct_apr,2025-2026,South Carolina,708.0,662.0,0.9350282485875706,0.06497175141242939,"Pediatric RSV hospital admissions, ages 0-4"
baseline_oct_mar,2025-2026,South Dakota,219.0,179.0,0.817351598173516,0.182648401826484,"Pediatric RSV hospital admissions, ages 0-4"
early_sep_mar,2025-2026,South Dakota,219.0,179.0,0.817351598173516,0.182648401826484,"Pediatric RSV hospital admissions, ages 0-4"
late_oct_apr,2025-2026,South Dakota,219.0,196.0,0.8949771689497716,0.10502283105022836,"Pediatric RSV hospital admissions, ages 0-4"
