Data Source,Metric,Season,Month,Month Metric Total,Month Metric Fraction
NHSN,"Pediatric RSV hospital admissions, ages 0-4",2024-2025,2024-07,0.0,0.0
NHSN,"Pediatric RSV hospital admissions, ages 0-4",2024-2025,2024-08,0.0,0.0
NHSN,"Pediatric RSV hospital admissions, ages 0-4",2024-2025,2024-09,0.0,0.0
NHSN,"Pediatric RSV hospital admissions, ages 0-4",2024-2025,2024-10,448.0,0.006714326394196904
NHSN,"Pediatric RSV hospital admissions, ages 0-4",2024-2025,2024-11,9820.0,0.1471756365870839
NHSN,"Pediatric RSV hospital admissions, ages 0-4",2024-2025,2024-12,17614.0,0.2639869310432684
NHSN,"Pediatric RSV hospital admissions, ages 0-4",2024-2025,2025-01,15942.0,0.23892810575064072
NHSN,"Pediatric RSV hospital admissions, ages 0-4",2024-2025,2025-02,10890.0,0.16321208578750956
NHSN,"Pediatric RSV hospital admissions, ages 0-4",2024-2025,2025-03,8184.0,0.12265635537970415
NHSN,"Pediatric RSV hospital admissions, ages 0-4",2024-2025,2025-04,2255.0,0.0337964420065045
NHSN,"Pediatric RSV hospital admissions, ages 0-4",2024-2025,2025-05,1093.0,0.016381157921556286
NHSN,"Pediatric RSV hospital admissions, ages 0-4",2024-2025,2025-06,477.0,0.007148959129535543
NSSP,"RSV ED visit percentage of total ED visits, all ages",2024-2025,2024-07,1.95,0.0026921802518223986
NSSP,"RSV ED visit percentage of total ED visits, all ages",2024-2025,2024-08,3.49,0.004818312348133421
NSSP,"RSV ED visit percentage of total ED visits, all ages",2024-2025,2024-09,5.63,0.007772807598851335
NSSP,"RSV ED visit percentage of total ED visits, all ages",2024-2025,2024-10,14.14,0.019521758338855753
NSSP,"RSV ED visit percentage of total ED visits, all ages",2024-2025,2024-11,73.24,0.1011155290479346
NSSP,"RSV ED visit percentage of total ED visits, all ages",2024-2025,2024-12,159.05,0.21958526618069363
NSSP,"RSV ED visit percentage of total ED visits, all ages",2024-2025,2025-01,165.04,0.22785509167218906
NSSP,"RSV ED visit percentage of total ED visits, all ages",2024-2025,2025-02,135.11,0.18653357631985862
NSSP,"RSV ED visit percentage of total ED visits, all ages",2024-2025,2025-03,114.21000000000001,0.1576789264413519
NSSP,"RSV ED visit percentage of total ED visits, all ages",2024-2025,2025-04,35.0,0.048321184007068696
NSSP,"RSV ED visit percentage of total ED visits, all ages",2024-2025,2025-05,13.41,0.018513916500994036
NSSP,"RSV ED visit percentage of total ED visits, all ages",2024-2025,2025-06,4.05,0.00559145129224652
