jurisdiction,n_seasons_available,cv_outside_fraction,outside_fraction_2324,outside_fraction_2425,outside_fraction_2526,rank_corr_2324_vs_2425,rank_corr_2425_vs_2526
Alabama,3,0.15344594578833823,0.09587513935340021,0.09600477042337509,0.12391681109185444,0.29824729891956775,0.807250900360144
Alaska,3,0.32318251159067385,0.059701492537313425,0.07496325330720235,0.11127819548872181,0.29824729891956775,0.807250900360144
Arizona,3,0.6270938078081781,0.06233766233766235,0.07354685646500594,0.1829787234042553,0.29824729891956775,0.807250900360144
Arkansas,3,0.40240076539893727,0.0414727041895895,0.06207616066770994,0.09407985314364387,0.29824729891956775,0.807250900360144
California,3,0.426397539401664,0.050320219579139985,0.07845433255269323,0.12078651685393259,0.29824729891956775,0.807250900360144
Colorado,3,0.359219296963656,0.05750560119492159,0.10311750599520385,0.12424503882657467,0.29824729891956775,0.807250900360144
Connecticut,3,0.6754978310713077,0.025470653377630124,0.051876379690949236,0.1067193675889328,0.29824729891956775,0.807250900360144
Delaware,3,0.18818400819400766,0.057854917668001785,0.05730129390018485,0.07862679955703211,0.29824729891956775,0.807250900360144
District of Columbia,3,0.4193351016012132,0.10291164658634537,0.04088471849865953,0.08878504672897197,0.29824729891956775,0.807250900360144
Florida,3,0.2873650703119674,0.24908958485069196,0.15813253012048192,0.1539708265802269,0.29824729891956775,0.807250900360144
Georgia,3,0.5220368579147345,0.18215613382899631,0.07142857142857144,0.08872651356993737,0.29824729891956775,0.807250900360144
Hawaii,3,0.27389157142921505,0.10784313725490201,0.14147130153597415,0.18724778046811943,0.29824729891956775,0.807250900360144
Idaho,3,0.3650692641902865,0.07228116710875332,0.10693454309786135,0.15283400809716602,0.29824729891956775,0.807250900360144
Illinois,3,0.3006451599542667,0.06498388829215897,0.06131207847946044,0.10278372591006422,0.29824729891956775,0.807250900360144
Indiana,3,0.46617771752909976,0.06041222459132908,0.0679062247372676,0.13463414634146342,0.29824729891956775,0.807250900360144
Iowa,3,0.29945307211961253,0.08487530168946096,0.0971993410214168,0.1469038208168643,0.29824729891956775,0.807250900360144
Kansas,3,0.28154400425120696,0.06551724137931035,0.093944099378882,0.11740473738414009,0.29824729891956775,0.807250900360144
Kentucky,3,0.3611899787964294,0.05824372759856631,0.10519877675840981,0.12645348837209305,0.29824729891956775,0.807250900360144
Louisiana,3,0.2751435904053236,0.09710610932475885,0.056541748849441166,0.0707635009310987,0.29824729891956775,0.807250900360144
Maine,3,0.9148477892871469,0.03931623931623932,0.12539851222104145,0.336231884057971,0.29824729891956775,0.807250900360144
Maryland,3,0.1899934637868118,0.0606060606060606,0.056457304163726185,0.07982832618025751,0.29824729891956775,0.807250900360144
Massachusetts,3,0.43001406753434485,0.062020082693443584,0.04943679599499375,0.10948905109489053,0.29824729891956775,0.807250900360144
Michigan,3,0.7093783857010434,0.04605263157894737,0.08445297504798464,0.19387755102040813,0.29824729891956775,0.807250900360144
Minnesota,3,0.5842282401373715,0.053763440860215055,0.08146399055489961,0.16653061224489796,0.29824729891956775,0.807250900360144
Mississippi,3,0.3355141023725893,0.15500327011118376,0.08031837916063678,0.10495626822157435,0.29824729891956775,0.807250900360144
Montana,3,0.49229099465563936,0.11366538952745851,0.1591463414634146,0.29204545454545455,0.29824729891956775,0.807250900360144
Nebraska,3,0.6720550371404582,0.07632999228989977,0.12665862484921594,0.2862547288776798,0.29824729891956775,0.807250900360144
Nevada,3,0.3968362040202918,0.05436573311367382,0.05785837651122625,0.10602409638554217,0.29824729891956775,0.807250900360144
New Hampshire,3,0.5503289699040963,0.043385490753911814,0.06646341463414633,0.12771084337349398,0.29824729891956775,0.807250900360144
New Jersey,3,0.24501856921829948,0.05936920222634509,0.05863453815261046,0.08815903197925669,0.29824729891956775,0.807250900360144
New Mexico,3,0.6353198598369015,0.034892638036809816,0.07264722069345074,0.13748854262144825,0.29824729891956775,0.807250900360144
New York,3,0.41111259144099616,0.049450549450549455,0.06387434554973824,0.10758776896942243,0.29824729891956775,0.807250900360144
North Carolina,3,0.3704402138075839,0.051254089422028346,0.06392931392931393,0.10293066476054323,0.29824729891956775,0.807250900360144
North Dakota,3,0.5537892631455006,0.10593220338983052,0.14568880079286425,0.29820051413881743,0.29824729891956775,0.807250900360144
Ohio,3,0.45195662348979476,0.04824120603015076,0.06564102564102565,0.11463414634146343,0.29824729891956775,0.807250900360144
Oklahoma,3,0.5518348033272135,0.03940605368360936,0.04429390307451797,0.10032894736842105,0.29824729891956775,0.807250900360144
Oregon,3,0.5613974334402824,0.058267716535433084,0.07843137254901962,0.16435185185185186,0.29824729891956775,0.807250900360144
