season,jurisdiction,total_burden,inside_burden,outside_burden,outside_fraction,age_group,age_group_label,metric_label
2024-2025,Iowa,689.0,641.0,48.0,0.06966618287373004,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Kansas,544.0,517.0,27.0,0.04963235294117647,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Kentucky,1005.0,918.0,87.0,0.08656716417910448,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Louisiana,1033.0,982.0,51.0,0.049370764762826716,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Maine,152.0,138.0,14.0,0.09210526315789473,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Maryland,739.0,717.0,22.0,0.029769959404600813,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Massachusetts,1515.0,1442.0,73.0,0.048184818481848184,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Michigan,2529.0,2393.0,136.0,0.053776196124950576,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Minnesota,1395.0,1303.0,92.0,0.06594982078853047,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Mississippi,547.0,518.0,29.0,0.05301645338208409,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Missouri,1165.0,1035.0,130.0,0.11158798283261803,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Montana,304.0,259.0,45.0,0.14802631578947367,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Nebraska,539.0,494.0,45.0,0.08348794063079777,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Nevada,643.0,615.0,28.0,0.04354587869362364,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,New Hampshire,189.0,180.0,9.0,0.047619047619047616,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,New Jersey,2086.0,2005.0,81.0,0.03883029721955897,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,New Mexico,884.0,839.0,45.0,0.05090497737556561,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,New York,4299.0,4105.0,194.0,0.04512677366829495,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,North Carolina,1916.0,1809.0,107.0,0.055845511482254695,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,North Dakota,248.0,214.0,34.0,0.13709677419354838,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Ohio,3272.0,3108.0,164.0,0.05012224938875306,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Oklahoma,720.0,698.0,22.0,0.030555555555555555,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Oregon,714.0,678.0,36.0,0.05042016806722689,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
