datasource,metric_label,season,jurisdiction,window_name,window_label,n_birth_cohorts,n_cohort_schedule_rows,share_receiving_ppx,median_person_activity_fractional_protection,q25_person_activity_fractional_protection,q75_person_activity_fractional_protection,mean_person_activity_fractional_protection,population_activity_weighted_protection,median_person_calendar_fractional_protection,mean_person_calendar_fractional_protection,total_activity_exposure_weight,uptake,efficacy_profile,protection_delay_days,protection_duration_days,eligibility_max_age_days,exposure_censor_age_days,birth_weight_scheme,allow_window_start_catchup
nhsn,"Pediatric RSV hospital admissions, ages 0-4",2024-2025,Alabama,baseline_oct_mar,Baseline Oct-Mar,509,2764,0.1310946491159135,0.13580574995004993,0.0,0.149309929903617,0.10012276710253003,0.13559383992676838,0.1274316393442623,0.09254002471903332,2605.7948717948716,0.185,piecewise_linear,6,210,244,244,uniform,False
nhsn,"Pediatric RSV hospital admissions, ages 0-4",2024-2025,Alabama,early_sep_mar,Early Sep-Mar,509,2884,0.14199838192534375,0.1460216846754708,0.09762089075317361,0.14886680972789346,0.1107193143391213,0.14011875111092637,0.1342982496969697,0.10735670026017795,2605.7948717948716,0.185,piecewise_linear,6,210,244,244,uniform,False
nhsn,"Pediatric RSV hospital admissions, ages 0-4",2024-2025,Alabama,extended_sep_apr,Extended Sep-Apr,509,3004,0.15290211473477403,0.1466404771050412,0.11381472659034514,0.14890842661385612,0.11827094458730658,0.14120511168571753,0.13629683431952663,0.1152090440818254,2605.794871794872,0.185,piecewise_linear,6,210,244,244,uniform,False
nhsn,"Pediatric RSV hospital admissions, ages 0-4",2024-2025,Alabama,late_oct_apr,Late Oct-Apr,509,2884,0.14199838192534378,0.14006065384615385,0.09560222851342207,0.14931620443367855,0.1076743973507153,0.13668020050155957,0.12802087454545455,0.10039236854068076,2605.7948717948716,0.185,piecewise_linear,6,210,244,244,uniform,False
nhsn,"Pediatric RSV hospital admissions, ages 0-4",2024-2025,Alaska,baseline_oct_mar,Baseline Oct-Mar,509,2764,0.1310946491159135,0.13530636856402023,0.0,0.14805516777451733,0.09914607933284898,0.13676248795811702,0.1274316393442623,0.09254002471903332,547.4358974358975,0.185,piecewise_linear,6,210,244,244,uniform,False
nhsn,"Pediatric RSV hospital admissions, ages 0-4",2024-2025,Alaska,early_sep_mar,Early Sep-Mar,509,2884,0.14199838192534375,0.14548410490665403,0.09164995454545455,0.14864768222326455,0.11051885832120588,0.14080869687083836,0.1342982496969697,0.10735670026017795,547.4358974358975,0.185,piecewise_linear,6,210,244,244,uniform,False
nhsn,"Pediatric RSV hospital admissions, ages 0-4",2024-2025,Alaska,extended_sep_apr,Extended Sep-Apr,509,3004,0.15290211473477403,0.1455382388280644,0.10437433888857046,0.14867051069701812,0.11616232502454171,0.14127237170244705,0.13629683431952663,0.1152090440818254,547.4358974358975,0.185,piecewise_linear,6,210,244,244,uniform,False
nhsn,"Pediatric RSV hospital admissions, ages 0-4",2024-2025,Alaska,late_oct_apr,Late Oct-Apr,509,2884,0.14199838192534378,0.1361128731725465,0.07628915384615384,0.14805770718228684,0.10478954603618479,0.1372261627897257,0.12802087454545455,0.10039236854068076,547.4358974358975,0.185,piecewise_linear,6,210,244,244,uniform,False
nhsn,"Pediatric RSV hospital admissions, ages 0-4",2024-2025,Arizona,baseline_oct_mar,Baseline Oct-Mar,509,2764,0.1310946491159135,0.14769582949437507,0.05350996069276672,0.14874652486454457,0.10753666407957009,0.1420956567793079,0.1274316393442623,0.09254002471903332,5683.948717948719,0.185,piecewise_linear,6,210,244,244,uniform,False
nhsn,"Pediatric RSV hospital admissions, ages 0-4",2024-2025,Arizona,early_sep_mar,Early Sep-Mar,509,2884,0.14199838192534375,0.14728506733390972,0.10122411943854355,0.1486203831369511,0.11401282883940049,0.14166631961351384,0.1342982496969697,0.10735670026017795,5683.948717948719,0.185,piecewise_linear,6,210,244,244,uniform,False
nhsn,"Pediatric RSV hospital admissions, ages 0-4",2024-2025,Arizona,extended_sep_apr,Extended Sep-Apr,509,3004,0.15290211473477403,0.14731860408725975,0.1238075143013849,0.14863029529303937,0.1199132491035828,0.14188910990006534,0.13629683431952663,0.1152090440818254,5683.948717948719,0.185,piecewise_linear,6,210,244,244,uniform,False
nhsn,"Pediatric RSV hospital admissions, ages 0-4",2024-2025,Arizona,late_oct_apr,Late Oct-Apr,509,2884,0.14199838192534378,0.14774059872486942,0.0903358648018648,0.14877451211061082,0.1134370843437524,0.14231844706585942,0.12802087454545455,0.10039236854068076,5683.948717948719,0.185,piecewise_linear,6,210,244,244,uniform,False
nhsn,"Pediatric RSV hospital admissions, ages 0-4",2024-2025,Arkansas,baseline_oct_mar,Baseline Oct-Mar,509,2764,0.1310946491159135,0.14228361364777148,0.0,0.1486120729040725,0.10548906137200299,0.1374335253403756,0.1274316393442623,0.09254002471903332,1101.128205128205,0.185,piecewise_linear,6,210,244,244,uniform,False
nhsn,"Pediatric RSV hospital admissions, ages 0-4",2024-2025,Arkansas,early_sep_mar,Early Sep-Mar,509,2884,0.14199838192534375,0.1446069523652818,0.11152870501247004,0.14847187474131285,0.11267289581276399,0.13806959791858972,0.1342982496969697,0.10735670026017795,1101.128205128205,0.185,piecewise_linear,6,210,244,244,uniform,False
nhsn,"Pediatric RSV hospital admissions, ages 0-4",2024-2025,Arkansas,extended_sep_apr,Extended Sep-Apr,509,3004,0.15290211473477403,0.14500159823982836,0.12300833153924728,0.1485136023749835,0.12004888347262804,0.13977195523884953,0.13629683431952663,0.1152090440818254,1101.128205128205,0.185,piecewise_linear,6,210,244,244,uniform,False
nhsn,"Pediatric RSV hospital admissions, ages 0-4",2024-2025,Arkansas,late_oct_apr,Late Oct-Apr,509,2884,0.14199838192534378,0.14342812896837678,0.10549577669736604,0.1487026933062597,0.11286504903186702,0.13913588266063542,0.12802087454545455,0.10039236854068076,1101.128205128205,0.185,piecewise_linear,6,210,244,244,uniform,False
nhsn,"Pediatric RSV hospital admissions, ages 0-4",2024-2025,California,baseline_oct_mar,Baseline Oct-Mar,509,2764,0.1310946491159135,0.14156995683518026,0.0,0.14851199164941042,0.09831648181361081,0.14017016672297697,0.1274316393442623,0.09254002471903332,13842.307692307693,0.185,piecewise_linear,6,210,244,244,uniform,False
nhsn,"Pediatric RSV hospital admissions, ages 0-4",2024-2025,California,early_sep_mar,Early Sep-Mar,509,2884,0.14199838192534375,0.14640883785771008,0.07623579111343202,0.14866529184706223,0.10771264768679946,0.14118254596393534,0.1342982496969697,0.10735670026017795,13842.307692307691,0.185,piecewise_linear,6,210,244,244,uniform,False
