season,jurisdiction,total_burden,inside_burden,outside_burden,outside_fraction,metric_label
2025-2026,Idaho,607.0,480.0,127.0,0.20922570016474465,"RSV hospital admissions, all ages"
2025-2026,Illinois,5145.0,4276.0,869.0,0.16890184645286685,"RSV hospital admissions, all ages"
2025-2026,Indiana,2880.0,2370.0,510.0,0.17708333333333334,"RSV hospital admissions, all ages"
2025-2026,Iowa,1288.0,1012.0,276.0,0.21428571428571427,"RSV hospital admissions, all ages"
2025-2026,Kansas,1035.0,860.0,175.0,0.16908212560386474,"RSV hospital admissions, all ages"
2025-2026,Kentucky,1861.0,1451.0,410.0,0.22031166039763567,"RSV hospital admissions, all ages"
2025-2026,Louisiana,2258.0,2023.0,235.0,0.10407440212577503,"RSV hospital admissions, all ages"
2025-2026,Maine,240.0,147.0,93.0,0.3875,"RSV hospital admissions, all ages"
2025-2026,Maryland,2073.0,1922.0,151.0,0.07284129281234925,"RSV hospital admissions, all ages"
2025-2026,Massachusetts,3158.0,2485.0,673.0,0.21310956301456618,"RSV hospital admissions, all ages"
2025-2026,Michigan,3894.0,2889.0,1005.0,0.2580893682588598,"RSV hospital admissions, all ages"
2025-2026,Minnesota,2355.0,1880.0,475.0,0.20169851380042464,"RSV hospital admissions, all ages"
2025-2026,Mississippi,928.0,806.0,122.0,0.1314655172413793,"RSV hospital admissions, all ages"
2025-2026,Missouri,2255.0,1919.0,336.0,0.14900221729490024,"RSV hospital admissions, all ages"
2025-2026,Montana,478.0,236.0,242.0,0.5062761506276151,"RSV hospital admissions, all ages"
2025-2026,Nebraska,793.0,558.0,235.0,0.296343001261034,"RSV hospital admissions, all ages"
2025-2026,Nevada,969.0,852.0,117.0,0.12074303405572756,"RSV hospital admissions, all ages"
2025-2026,New Hampshire,586.0,452.0,134.0,0.22866894197952217,"RSV hospital admissions, all ages"
2025-2026,New Jersey,5309.0,4764.0,545.0,0.10265586739498964,"RSV hospital admissions, all ages"
2025-2026,New Mexico,971.0,827.0,144.0,0.14830072090628219,"RSV hospital admissions, all ages"
2025-2026,New York,12435.0,10623.0,1812.0,0.14571773220747888,"RSV hospital admissions, all ages"
2025-2026,North Carolina,4891.0,4224.0,667.0,0.13637292987119198,"RSV hospital admissions, all ages"
2025-2026,North Dakota,358.0,202.0,156.0,0.43575418994413406,"RSV hospital admissions, all ages"
2025-2026,Ohio,5791.0,5006.0,785.0,0.13555517181833882,"RSV hospital admissions, all ages"
2025-2026,Oklahoma,1046.0,894.0,152.0,0.14531548757170173,"RSV hospital admissions, all ages"
2025-2026,Oregon,1065.0,878.0,187.0,0.1755868544600939,"RSV hospital admissions, all ages"
2025-2026,Pennsylvania,10810.0,8345.0,2465.0,0.22802960222016652,"RSV hospital admissions, all ages"
2025-2026,Rhode Island,723.0,603.0,120.0,0.16597510373443983,"RSV hospital admissions, all ages"
2025-2026,South Carolina,2055.0,1865.0,190.0,0.09245742092457421,"RSV hospital admissions, all ages"
2025-2026,South Dakota,403.0,294.0,109.0,0.2704714640198511,"RSV hospital admissions, all ages"
2025-2026,Tennessee,2481.0,2080.0,401.0,0.16162837565497784,"RSV hospital admissions, all ages"
2025-2026,Texas,11212.0,9859.0,1353.0,0.1206742775597574,"RSV hospital admissions, all ages"
2025-2026,Utah,545.0,472.0,73.0,0.13394495412844037,"RSV hospital admissions, all ages"
2025-2026,Vermont,235.0,157.0,78.0,0.33191489361702126,"RSV hospital admissions, all ages"
2025-2026,Virginia,2430.0,2123.0,307.0,0.12633744855967077,"RSV hospital admissions, all ages"
2025-2026,Washington,1428.0,1143.0,285.0,0.19957983193277312,"RSV hospital admissions, all ages"
2025-2026,West Virginia,1335.0,921.0,414.0,0.3101123595505618,"RSV hospital admissions, all ages"
2025-2026,Wisconsin,2481.0,1787.0,694.0,0.27972591696896415,"RSV hospital admissions, all ages"
2025-2026,Wyoming,322.0,210.0,112.0,0.34782608695652173,"RSV hospital admissions, all ages"
