window_name,season,jurisdiction,total_burden,inside_burden,coverage,missed_fraction,metric_label
baseline_oct_mar,2024-2025,Wisconsin,13.73,12.4,0.9031318281136198,0.0968681718863802,"RSV ED visit percentage of total ED visits, all ages"
early_sep_mar,2024-2025,Wisconsin,13.73,12.409999999999998,0.9038601602330661,0.09613983976693385,"RSV ED visit percentage of total ED visits, all ages"
late_oct_apr,2024-2025,Wisconsin,13.73,13.37,0.9737800436999271,0.0262199563000729,"RSV ED visit percentage of total ED visits, all ages"
baseline_oct_mar,2024-2025,Wyoming,15.009999999999998,12.65,0.842771485676216,0.15722851432378404,"RSV ED visit percentage of total ED visits, all ages"
early_sep_mar,2024-2025,Wyoming,15.009999999999998,12.709999999999999,0.8467688207861426,0.15323117921385743,"RSV ED visit percentage of total ED visits, all ages"
late_oct_apr,2024-2025,Wyoming,15.009999999999998,14.34,0.9553630912724851,0.04463690872751491,"RSV ED visit percentage of total ED visits, all ages"
baseline_oct_mar,2025-2026,Alabama,12.360000000000001,10.11,0.8179611650485435,0.18203883495145645,"RSV ED visit percentage of total ED visits, all ages"
early_sep_mar,2025-2026,Alabama,12.360000000000001,10.48,0.8478964401294498,0.15210355987055024,"RSV ED visit percentage of total ED visits, all ages"
late_oct_apr,2025-2026,Alabama,12.360000000000001,10.779999999999998,0.8721682847896437,0.1278317152103563,"RSV ED visit percentage of total ED visits, all ages"
baseline_oct_mar,2025-2026,Alaska,14.000000000000002,11.820000000000002,0.8442857142857143,0.1557142857142857,"RSV ED visit percentage of total ED visits, all ages"
early_sep_mar,2025-2026,Alaska,14.000000000000002,11.890000000000002,0.8492857142857143,0.1507142857142857,"RSV ED visit percentage of total ED visits, all ages"
late_oct_apr,2025-2026,Alaska,14.000000000000002,13.22,0.9442857142857142,0.05571428571428583,"RSV ED visit percentage of total ED visits, all ages"
baseline_oct_mar,2025-2026,Arizona,5.29,3.8299999999999996,0.7240075614366729,0.2759924385633271,"RSV ED visit percentage of total ED visits, all ages"
early_sep_mar,2025-2026,Arizona,5.29,3.849999999999999,0.7277882797731567,0.27221172022684326,"RSV ED visit percentage of total ED visits, all ages"
late_oct_apr,2025-2026,Arizona,5.29,4.7,0.888468809073724,0.11153119092627595,"RSV ED visit percentage of total ED visits, all ages"
baseline_oct_mar,2025-2026,Arkansas,22.74,19.660000000000004,0.8645558487247144,0.13544415127528564,"RSV ED visit percentage of total ED visits, all ages"
early_sep_mar,2025-2026,Arkansas,22.74,19.850000000000005,0.8729111697449431,0.1270888302550569,"RSV ED visit percentage of total ED visits, all ages"
late_oct_apr,2025-2026,Arkansas,22.74,21.35000000000001,0.9388742304309591,0.06112576956904092,"RSV ED visit percentage of total ED visits, all ages"
baseline_oct_mar,2025-2026,California,7.499999999999999,6.260000000000001,0.8346666666666669,0.1653333333333331,"RSV ED visit percentage of total ED visits, all ages"
early_sep_mar,2025-2026,California,7.499999999999999,6.3100000000000005,0.8413333333333335,0.1586666666666665,"RSV ED visit percentage of total ED visits, all ages"
late_oct_apr,2025-2026,California,7.499999999999999,7.000000000000001,0.9333333333333336,0.06666666666666643,"RSV ED visit percentage of total ED visits, all ages"
baseline_oct_mar,2025-2026,Colorado,12.159999999999998,10.159999999999998,0.8355263157894737,0.16447368421052633,"RSV ED visit percentage of total ED visits, all ages"
early_sep_mar,2025-2026,Colorado,12.159999999999998,10.209999999999999,0.8396381578947368,0.16036184210526316,"RSV ED visit percentage of total ED visits, all ages"
late_oct_apr,2025-2026,Colorado,12.159999999999998,11.509999999999998,0.9465460526315789,0.05345394736842113,"RSV ED visit percentage of total ED visits, all ages"
baseline_oct_mar,2025-2026,Connecticut,7.859999999999999,6.779999999999999,0.8625954198473282,0.13740458015267176,"RSV ED visit percentage of total ED visits, all ages"
early_sep_mar,2025-2026,Connecticut,7.859999999999999,6.839999999999999,0.8702290076335877,0.12977099236641232,"RSV ED visit percentage of total ED visits, all ages"
late_oct_apr,2025-2026,Connecticut,7.859999999999999,7.509999999999999,0.9554707379134859,0.04452926208651409,"RSV ED visit percentage of total ED visits, all ages"
baseline_oct_mar,2025-2026,Delaware,18.700000000000003,16.64,0.8898395721925133,0.1101604278074867,"RSV ED visit percentage of total ED visits, all ages"
early_sep_mar,2025-2026,Delaware,18.700000000000003,16.750000000000004,0.8957219251336899,0.10427807486631013,"RSV ED visit percentage of total ED visits, all ages"
late_oct_apr,2025-2026,Delaware,18.700000000000003,17.86,0.9550802139037431,0.04491978609625691,"RSV ED visit percentage of total ED visits, all ages"
baseline_oct_mar,2025-2026,District of Columbia,8.92,7.8100000000000005,0.875560538116592,0.12443946188340804,"RSV ED visit percentage of total ED visits, all ages"
early_sep_mar,2025-2026,District of Columbia,8.92,7.960000000000002,0.89237668161435,0.10762331838564998,"RSV ED visit percentage of total ED visits, all ages"
