datasource,season,n_states,total_infant_population_under1,total_hospitalizations_averted_vs_baseline,median_state_hospitalizations_averted,q25_state_hospitalizations_averted,q75_state_hospitalizations_averted,median_hospitalizations_averted_per_100k_infants,comparison,total_hospitalizations_averted_early_vs_baseline,comparison_window_name,comparison_window_label,scenario_id,baseline_hospitalization_risk_per_1000_infants,hospitalization_burden_source,population_source
nssp,2023-2024,51,3648654,3852.3234836113343,42.23965237700291,15.188854153573404,83.27803926867063,86.01145734947671,Early Sep-Mar vs baseline Oct-Mar,3852.3234836113343,early_sep_mar,Early Sep-Mar,uptake_100,11.774214704994403,"Pelletier et al. JAMA Network Open 2025 untreated infants: 2,535 RSV-associated hospitalizations among 215,301 untreated infants.","U.S. Census Bureau Population Estimates Program, Vintage 2023 Annual Resident Population Estimates by Single Year of Age and Sex, age under 1 year."
nssp,2024-2025,51,3648654,2552.1982836949064,27.675525501014825,8.597730328014595,58.67608390524949,60.65082420990982,Early Sep-Mar vs baseline Oct-Mar,2552.1982836949064,early_sep_mar,Early Sep-Mar,uptake_100,11.774214704994403,"Pelletier et al. JAMA Network Open 2025 untreated infants: 2,535 RSV-associated hospitalizations among 215,301 untreated infants.","U.S. Census Bureau Population Estimates Program, Vintage 2023 Annual Resident Population Estimates by Single Year of Age and Sex, age under 1 year."
nssp,2025-2026,51,3648654,1606.8941420582014,14.458113491032911,4.803128443809243,39.85754960574184,34.84949144160392,Early Sep-Mar vs baseline Oct-Mar,1606.8941420582014,early_sep_mar,Early Sep-Mar,uptake_100,11.774214704994403,"Pelletier et al. JAMA Network Open 2025 untreated infants: 2,535 RSV-associated hospitalizations among 215,301 untreated infants.","U.S. Census Bureau Population Estimates Program, Vintage 2023 Annual Resident Population Estimates by Single Year of Age and Sex, age under 1 year."
nssp,2023-2024,51,3648654,53.20295601004557,0.6782657758923055,0.28923787046044425,1.1478910482483997,1.3863202888821853,Late Oct-Apr vs baseline Oct-Mar,53.20295601004557,late_oct_apr,Late Oct-Apr,uptake_100,11.774214704994403,"Pelletier et al. JAMA Network Open 2025 untreated infants: 2,535 RSV-associated hospitalizations among 215,301 untreated infants.","U.S. Census Bureau Population Estimates Program, Vintage 2023 Annual Resident Population Estimates by Single Year of Age and Sex, age under 1 year."
nssp,2024-2025,51,3648654,101.33232497040878,1.1772754371165526,0.673245895243751,2.3999827258609265,2.551787999416563,Late Oct-Apr vs baseline Oct-Mar,101.33232497040878,late_oct_apr,Late Oct-Apr,uptake_100,11.774214704994403,"Pelletier et al. JAMA Network Open 2025 untreated infants: 2,535 RSV-associated hospitalizations among 215,301 untreated infants.","U.S. Census Bureau Population Estimates Program, Vintage 2023 Annual Resident Population Estimates by Single Year of Age and Sex, age under 1 year."
nssp,2025-2026,51,3648654,216.25767173639514,2.8912580246012647,1.7272588976896814,5.367935206304898,5.9421217403477415,Late Oct-Apr vs baseline Oct-Mar,216.25767173639514,late_oct_apr,Late Oct-Apr,uptake_100,11.774214704994403,"Pelletier et al. JAMA Network Open 2025 untreated infants: 2,535 RSV-associated hospitalizations among 215,301 untreated infants.","U.S. Census Bureau Population Estimates Program, Vintage 2023 Annual Resident Population Estimates by Single Year of Age and Sex, age under 1 year."
nssp,2023-2024,51,3648654,-2011.1526415579858,-27.986372129263877,-78.42333025182944,-7.205141442895558,-117.11362267654378,Year-round vs baseline Oct-Mar,-2011.1526415579858,year_round,Year-round,uptake_100,11.774214704994403,"Pelletier et al. JAMA Network Open 2025 untreated infants: 2,535 RSV-associated hospitalizations among 215,301 untreated infants.","U.S. Census Bureau Population Estimates Program, Vintage 2023 Annual Resident Population Estimates by Single Year of Age and Sex, age under 1 year."
nssp,2024-2025,51,3648654,-5528.198751822747,-72.5675167101924,-148.9957665038143,-35.1333039462463,-188.3897802346948,Year-round vs baseline Oct-Mar,-5528.198751822747,year_round,Year-round,uptake_100,11.774214704994403,"Pelletier et al. JAMA Network Open 2025 untreated infants: 2,535 RSV-associated hospitalizations among 215,301 untreated infants.","U.S. Census Bureau Population Estimates Program, Vintage 2023 Annual Resident Population Estimates by Single Year of Age and Sex, age under 1 year."
nssp,2025-2026,51,3648654,-7135.223071927986,-98.08740812894627,-163.58416639978677,-47.381156883141905,-229.45640211248943,Year-round vs baseline Oct-Mar,-7135.223071927986,year_round,Year-round,uptake_100,11.774214704994403,"Pelletier et al. JAMA Network Open 2025 untreated infants: 2,535 RSV-associated hospitalizations among 215,301 untreated infants.","U.S. Census Bureau Population Estimates Program, Vintage 2023 Annual Resident Population Estimates by Single Year of Age and Sex, age under 1 year."
