Data Source,Metric,Season,N States,Median Outside Fraction,Unweighted Outside Fraction,Weighted Outside Fraction,Total Metric (sum over weeks)
NHSN,"Pediatric RSV hospital admissions, ages 0-4",2025-2026,51,0.1388888888888889,0.1603356636854644,0.13971773792224854,50237.0
NSSP,"RSV ED visit percentage of total ED visits, all ages",2025-2026,51,0.16447368421052633,0.1929866130855742,0.19154140209926132,617.3600000000001
