datasource,season,n_states,total_infant_population_under1,total_hospitalizations_averted_vs_baseline,median_state_hospitalizations_averted,q25_state_hospitalizations_averted,q75_state_hospitalizations_averted,median_hospitalizations_averted_per_100k_infants,comparison,total_hospitalizations_averted_early_vs_baseline,comparison_window_name,comparison_window_label,scenario_id,baseline_hospitalization_risk_per_1000_infants,hospitalization_burden_source,population_source
nssp,2023-2024,50,3580658,57.89595746557215,0.7686999398880762,0.3714303253521434,1.2234216068484305,1.4927818773041541,Late Oct-Apr vs baseline Oct-Mar,57.89595746557215,late_oct_apr,Late Oct-Apr,uptake_100,11.774214704994403,"Pelletier et al. JAMA Network Open 2025 untreated infants: 2,535 RSV-associated hospitalizations among 215,301 untreated infants.","U.S. Census Bureau Population Estimates Program, Vintage 2023 Annual Resident Population Estimates by Single Year of Age and Sex, age under 1 year."
nssp,2024-2025,50,3580658,97.59085023306602,1.1852463141370544,0.6750080594005103,2.392706534944245,2.5809806083767555,Late Oct-Apr vs baseline Oct-Mar,97.59085023306602,late_oct_apr,Late Oct-Apr,uptake_100,11.774214704994403,"Pelletier et al. JAMA Network Open 2025 untreated infants: 2,535 RSV-associated hospitalizations among 215,301 untreated infants.","U.S. Census Bureau Population Estimates Program, Vintage 2023 Annual Resident Population Estimates by Single Year of Age and Sex, age under 1 year."
nssp,2025-2026,50,3580658,70.40845205502093,0.9115912522375835,0.6003037410886263,1.8808935647030278,1.9491455278150394,Late Oct-Apr vs baseline Oct-Mar,70.40845205502093,late_oct_apr,Late Oct-Apr,uptake_100,11.774214704994403,"Pelletier et al. JAMA Network Open 2025 untreated infants: 2,535 RSV-associated hospitalizations among 215,301 untreated infants.","U.S. Census Bureau Population Estimates Program, Vintage 2023 Annual Resident Population Estimates by Single Year of Age and Sex, age under 1 year."
