datasource,season,jurisdiction,window_name,window_label,birth_month,median_person_activity_fractional_protection,mean_person_activity_fractional_protection,share_receiving_ppx,total_activity_exposure_weight
nhsn,2024-2025,Alabama,baseline_oct_mar,Baseline Oct-Mar,2023-10,0.0,0.0,0.0,0.4691358024691358
nhsn,2024-2025,Alabama,baseline_oct_mar,Baseline Oct-Mar,2023-11,0.0,0.0,0.0,26.35665294924554
nhsn,2024-2025,Alabama,baseline_oct_mar,Baseline Oct-Mar,2023-12,0.0,0.0,0.0,117.06584362139918
nhsn,2024-2025,Alabama,baseline_oct_mar,Baseline Oct-Mar,2024-01,0.0,0.0,0.0,187.5706447187929
nhsn,2024-2025,Alabama,baseline_oct_mar,Baseline Oct-Mar,2024-02,0.0,0.0,0.0,197.26611796982166
nhsn,2024-2025,Alabama,baseline_oct_mar,Baseline Oct-Mar,2024-03,0.0,0.027648293615423668,0.03425483870967743,223.2304526748971
nhsn,2024-2025,Alabama,baseline_oct_mar,Baseline Oct-Mar,2024-04,0.15052444521336625,0.1493225011839531,0.18500000000000003,225.5281207133059
nhsn,2024-2025,Alabama,baseline_oct_mar,Baseline Oct-Mar,2024-05,0.13521251151182917,0.13279101755505404,0.185,239.7736625514403
nhsn,2024-2025,Alabama,baseline_oct_mar,Baseline Oct-Mar,2024-06,0.14682006967985847,0.14607354572095177,0.18500000000000003,237.48148148148144
nhsn,2024-2025,Alabama,baseline_oct_mar,Baseline Oct-Mar,2024-07,0.133773984801513,0.13108713963531857,0.185,247.95747599451298
nhsn,2024-2025,Alabama,baseline_oct_mar,Baseline Oct-Mar,2024-08,0.14522196048169517,0.14480560211912427,0.185,247.95747599451298
nhsn,2024-2025,Alabama,baseline_oct_mar,Baseline Oct-Mar,2024-09,0.14372988475070347,0.14396125698502374,0.18500000000000003,239.95884773662547
nhsn,2024-2025,Alabama,baseline_oct_mar,Baseline Oct-Mar,2024-10,0.14498643303075479,0.14304760888504653,0.18500000000000003,247.38683127572017
nhsn,2024-2025,Alabama,baseline_oct_mar,Baseline Oct-Mar,2024-11,0.13338666142603467,0.12755083942647416,0.18500000000000005,211.48285322359396
nhsn,2024-2025,Alabama,baseline_oct_mar,Baseline Oct-Mar,2024-12,0.11708341303375605,0.11523262236129805,0.18500000000000003,127.86419753086417
nhsn,2024-2025,Alabama,baseline_oct_mar,Baseline Oct-Mar,2025-01,0.127327346407978,0.12531881666617434,0.18500000000000003,59.12757201646089
nhsn,2024-2025,Alabama,baseline_oct_mar,Baseline Oct-Mar,2025-02,0.1319593741024234,0.12984698616214022,0.185,33.20301783264746
nhsn,2024-2025,Alabama,baseline_oct_mar,Baseline Oct-Mar,2025-03,0.1294295737936306,0.09329515874242704,0.12500891612903225,24.72702331961591
nhsn,2024-2025,Alabama,baseline_oct_mar,Baseline Oct-Mar,2025-04,0.0,0.0,0.0,14.430727023319616
nhsn,2024-2025,Alabama,baseline_oct_mar,Baseline Oct-Mar,2025-05,0.0,0.0,0.0,8.183813443072703
nhsn,2024-2025,Alabama,baseline_oct_mar,Baseline Oct-Mar,2025-06,0.0,0.0,0.0,2.4773662551440325
nhsn,2024-2025,Alabama,early_sep_mar,Early Sep-Mar,2023-10,0.0,0.0,0.0,0.4691358024691358
nhsn,2024-2025,Alabama,early_sep_mar,Early Sep-Mar,2023-11,0.0,0.0,0.0,26.35665294924554
nhsn,2024-2025,Alabama,early_sep_mar,Early Sep-Mar,2023-12,0.0,0.0,0.0,117.06584362139918
nhsn,2024-2025,Alabama,early_sep_mar,Early Sep-Mar,2024-01,0.0,0.0,0.0,187.5706447187929
nhsn,2024-2025,Alabama,early_sep_mar,Early Sep-Mar,2024-02,0.0,0.0270370329886183,0.034001724137931046,197.26611796982166
nhsn,2024-2025,Alabama,early_sep_mar,Early Sep-Mar,2024-03,0.14766197540308326,0.14506178161528624,0.18147903225806453,223.2304526748971
nhsn,2024-2025,Alabama,early_sep_mar,Early Sep-Mar,2024-04,0.15052444521336625,0.14912830540056107,0.18500000000000003,225.5281207133059
nhsn,2024-2025,Alabama,early_sep_mar,Early Sep-Mar,2024-05,0.14403627210414585,0.14418467315144368,0.185,239.7736625514403
nhsn,2024-2025,Alabama,early_sep_mar,Early Sep-Mar,2024-06,0.1467311017318016,0.1450670976643401,0.18500000000000003,237.48148148148144
nhsn,2024-2025,Alabama,early_sep_mar,Early Sep-Mar,2024-07,0.13816101617789975,0.13826190609134376,0.185,247.95747599451298
nhsn,2024-2025,Alabama,early_sep_mar,Early Sep-Mar,2024-08,0.13713225087517525,0.13718176017722516,0.185,247.95747599451298
