Data Source,Metric,Season,N States,Median Outside Fraction,Unweighted Outside Fraction,Weighted Outside Fraction,Total Metric (sum over weeks)
NHSN,"Pediatric RSV hospital admissions, ages 0-4",2024-2025,51,0.05657604702424688,0.06795299657365278,0.05732655905759633,66723.0
NSSP,"RSV ED visit percentage of total ED visits, all ages",2024-2025,51,0.07671721677074042,0.08982104775597691,0.0877098519991164,724.32
