datasource,metric_label,season,jurisdiction,window_name,window_label,n_birth_cohorts,n_cohort_schedule_rows,share_receiving_ppx,median_person_activity_fractional_protection,q25_person_activity_fractional_protection,q75_person_activity_fractional_protection,mean_person_activity_fractional_protection,population_activity_weighted_protection,median_person_calendar_fractional_protection,mean_person_calendar_fractional_protection,total_activity_exposure_weight,uptake,efficacy_profile,protection_delay_days,protection_duration_days,eligibility_max_age_days,exposure_censor_age_days,birth_weight_scheme,allow_window_start_catchup
nhsn,"Pediatric RSV hospital admissions, ages 0-4",2024-2025,Alabama,baseline_oct_mar,Baseline Oct-Mar,544,2904,0.12266025073529407,0.12836315090370687,0.0,0.1460216846754708,0.09026445094141203,0.10889137816767741,0.11689218045112781,0.08561096395621744,3698.8864468864467,0.185,piecewise_linear,6,210,244,365,uniform,False
nhsn,"Pediatric RSV hospital admissions, ages 0-4",2024-2025,Alabama,early_sep_mar,Early Sep-Mar,544,3024,0.132862456617647,0.13823082743307114,0.0,0.14648209686831778,0.09893758827381056,0.12110045698127984,0.12005142857142856,0.09248345184931327,3698.8864468864467,0.185,piecewise_linear,6,210,244,365,uniform,False
nhsn,"Pediatric RSV hospital admissions, ages 0-4",2024-2025,Alabama,extended_sep_apr,Extended Sep-Apr,544,3144,0.1430646625,0.13882835453861864,0.09179107021745378,0.14687742405564652,0.10580901653272919,0.12186577726222382,0.12437327999999999,0.09983058972655326,3698.8864468864467,0.185,piecewise_linear,6,210,244,365,uniform,False
nhsn,"Pediatric RSV hospital admissions, ages 0-4",2024-2025,Alabama,late_oct_apr,Late Oct-Apr,544,3024,0.13286245661764703,0.13233741083557102,0.0,0.14634465480737752,0.09713587920033064,0.10965669844862139,0.11738307035573124,0.09295810183345743,3698.8864468864467,0.185,piecewise_linear,6,210,244,365,uniform,False
nhsn,"Pediatric RSV hospital admissions, ages 0-4",2024-2025,Alaska,baseline_oct_mar,Baseline Oct-Mar,544,2904,0.12266025073529407,0.13493811478806908,0.0,0.14682930542600256,0.09307038276423726,0.11470250969181209,0.11689218045112781,0.08561096395621744,793.514652014652,0.185,piecewise_linear,6,210,244,365,uniform,False
nhsn,"Pediatric RSV hospital admissions, ages 0-4",2024-2025,Alaska,early_sep_mar,Early Sep-Mar,544,3024,0.132862456617647,0.14146989972884258,0.0,0.14715290266305123,0.10205574825965866,0.12686144132721985,0.12005142857142856,0.09248345184931327,793.514652014652,0.185,piecewise_linear,6,210,244,365,uniform,False
nhsn,"Pediatric RSV hospital admissions, ages 0-4",2024-2025,Alaska,extended_sep_apr,Extended Sep-Apr,544,3144,0.1430646625,0.14155837106441946,0.07892125874125876,0.14715729894105894,0.10732653319956666,0.12718132483146982,0.12437327999999999,0.09983058972655326,793.514652014652,0.185,piecewise_linear,6,210,244,365,uniform,False
nhsn,"Pediatric RSV hospital admissions, ages 0-4",2024-2025,Alaska,late_oct_apr,Late Oct-Apr,544,3024,0.13286245661764703,0.135387138791844,0.0,0.14682930542600256,0.09834116770414525,0.11502239319606207,0.11738307035573124,0.09295810183345743,793.5146520146521,0.185,piecewise_linear,6,210,244,365,uniform,False
nhsn,"Pediatric RSV hospital admissions, ages 0-4",2024-2025,Arizona,baseline_oct_mar,Baseline Oct-Mar,544,2904,0.12266025073529407,0.1468880455594125,0.0,0.148202181872063,0.09436325009296556,0.12344953159002077,0.11689218045112781,0.08561096395621744,8447.012820512822,0.185,piecewise_linear,6,210,244,365,uniform,False
nhsn,"Pediatric RSV hospital admissions, ages 0-4",2024-2025,Arizona,early_sep_mar,Early Sep-Mar,544,3024,0.132862456617647,0.1446705130477668,0.0,0.14770917792070193,0.10209797752110339,0.13339560278157542,0.12005142857142856,0.09248345184931327,8447.01282051282,0.185,piecewise_linear,6,210,244,365,uniform,False
nhsn,"Pediatric RSV hospital admissions, ages 0-4",2024-2025,Arizona,extended_sep_apr,Extended Sep-Apr,544,3144,0.1430646625,0.14486249737329265,0.06251513368449732,0.14773886590755855,0.10729702707463762,0.1335455171466325,0.12437327999999999,0.09983058972655326,8447.01282051282,0.185,piecewise_linear,6,210,244,365,uniform,False
nhsn,"Pediatric RSV hospital admissions, ages 0-4",2024-2025,Arizona,late_oct_apr,Late Oct-Apr,544,3024,0.13286245661764703,0.14689459084173945,0.0,0.14820657519562955,0.09956229964649978,0.12359944595507784,0.11738307035573124,0.09295810183345743,8447.01282051282,0.185,piecewise_linear,6,210,244,365,uniform,False
nhsn,"Pediatric RSV hospital admissions, ages 0-4",2024-2025,Arkansas,baseline_oct_mar,Baseline Oct-Mar,544,2904,0.12266025073529407,0.13846314677651894,0.0,0.14433771156540254,0.09204785129078151,0.11893030797052152,0.11689218045112781,0.08561096395621744,1614.208791208791,0.185,piecewise_linear,6,210,244,365,uniform,False
nhsn,"Pediatric RSV hospital admissions, ages 0-4",2024-2025,Arkansas,early_sep_mar,Early Sep-Mar,544,3024,0.132862456617647,0.13460572099207613,0.0,0.14458324236942927,0.09868050021290296,0.12621058473842647,0.12005142857142856,0.09248345184931327,1614.2087912087914,0.185,piecewise_linear,6,210,244,365,uniform,False
nhsn,"Pediatric RSV hospital admissions, ages 0-4",2024-2025,Arkansas,extended_sep_apr,Extended Sep-Apr,544,3144,0.1430646625,0.13583511810700125,0.08723300005572118,0.14493018600365154,0.10520228341951073,0.12737184322664277,0.12437327999999999,0.09983058972655326,1614.2087912087914,0.185,piecewise_linear,6,210,244,365,uniform,False
nhsn,"Pediatric RSV hospital admissions, ages 0-4",2024-2025,Arkansas,late_oct_apr,Late Oct-Apr,544,3024,0.13286245661764703,0.13884131161735994,0.0,0.1446188707774021,0.09856963449738929,0.12009156645873781,0.11738307035573124,0.09295810183345743,1614.2087912087911,0.185,piecewise_linear,6,210,244,365,uniform,False
nhsn,"Pediatric RSV hospital admissions, ages 0-4",2024-2025,California,baseline_oct_mar,Baseline Oct-Mar,544,2904,0.12266025073529407,0.14006613191458014,0.0,0.14747863090897803,0.09178110388076852,0.11807444661747077,0.11689218045112781,0.08561096395621744,20226.710622710623,0.185,piecewise_linear,6,210,244,365,uniform,False
nhsn,"Pediatric RSV hospital admissions, ages 0-4",2024-2025,California,early_sep_mar,Early Sep-Mar,544,3024,0.132862456617647,0.14232512037962036,0.0,0.1475834520856006,0.09950197362703357,0.12831779833800705,0.12005142857142856,0.09248345184931327,20226.71062271062,0.185,piecewise_linear,6,210,244,365,uniform,False
nhsn,"Pediatric RSV hospital admissions, ages 0-4",2024-2025,California,extended_sep_apr,Extended Sep-Apr,544,3144,0.1430646625,0.14235335475516123,0.06458954506073225,0.14761405853667145,0.10505909223265746,0.1286582371053374,0.12437327999999999,0.09983058972655326,20226.71062271062,0.185,piecewise_linear,6,210,244,365,uniform,False
nhsn,"Pediatric RSV hospital admissions, ages 0-4",2024-2025,California,late_oct_apr,Late Oct-Apr,544,3024,0.13286245661764703,0.1408581471607446,0.0,0.14748398857073705,0.0973382224863924,0.11841488538480109,0.11738307035573124,0.09295810183345743,20226.71062271062,0.185,piecewise_linear,6,210,244,365,uniform,False
nhsn,"Pediatric RSV hospital admissions, ages 0-4",2024-2025,Colorado,baseline_oct_mar,Baseline Oct-Mar,544,2904,0.12266025073529407,0.1456288903720618,0.0,0.14768693934637878,0.09699571438044713,0.12412811115655704,0.11689218045112781,0.08561096395621744,8767.547619047618,0.185,piecewise_linear,6,210,244,365,uniform,False
nhsn,"Pediatric RSV hospital admissions, ages 0-4",2024-2025,Colorado,early_sep_mar,Early Sep-Mar,544,3024,0.132862456617647,0.14142474831158403,0.0,0.14750951767068912,0.10405577405648811,0.1318164170959834,0.12005142857142856,0.09248345184931327,8767.54761904762,0.185,piecewise_linear,6,210,244,365,uniform,False
nhsn,"Pediatric RSV hospital admissions, ages 0-4",2024-2025,Colorado,extended_sep_apr,Extended Sep-Apr,544,3144,0.1430646625,0.14142474831158403,0.0907747982077713,0.14750951767068912,0.10937866712175863,0.13228311047203928,0.12437327999999999,0.09983058972655326,8767.547619047618,0.185,piecewise_linear,6,210,244,365,uniform,False
nhsn,"Pediatric RSV hospital admissions, ages 0-4",2024-2025,Colorado,late_oct_apr,Late Oct-Apr,544,3024,0.13286245661764703,0.1456288903720618,0.0,0.14768693934637878,0.10231860744571769,0.12459480453261287,0.11738307035573124,0.09295810183345743,8767.547619047618,0.185,piecewise_linear,6,210,244,365,uniform,False
nhsn,"Pediatric RSV hospital admissions, ages 0-4",2024-2025,Connecticut,baseline_oct_mar,Baseline Oct-Mar,544,2904,0.12266025073529407,0.1337543199769663,0.0,0.14743466966301802,0.09149264682838434,0.110146063693099,0.11689218045112781,0.08561096395621744,2289.346153846154,0.185,piecewise_linear,6,210,244,365,uniform,False
nhsn,"Pediatric RSV hospital admissions, ages 0-4",2024-2025,Connecticut,early_sep_mar,Early Sep-Mar,544,3024,0.132862456617647,0.1442895537828121,0.0,0.14756827093258995,0.10099404862465022,0.12388152764736444,0.12005142857142856,0.09248345184931327,2289.346153846154,0.185,piecewise_linear,6,210,244,365,uniform,False
nhsn,"Pediatric RSV hospital admissions, ages 0-4",2024-2025,Connecticut,extended_sep_apr,Extended Sep-Apr,544,3144,0.1430646625,0.14443581138431041,0.0748576959045917,0.14765547670424528,0.10706492176365799,0.12406920394375087,0.12437327999999999,0.09983058972655326,2289.346153846154,0.185,piecewise_linear,6,210,244,365,uniform,False
nhsn,"Pediatric RSV hospital admissions, ages 0-4",2024-2025,Connecticut,late_oct_apr,Late Oct-Apr,544,3024,0.13286245661764703,0.13661756914542153,0.0,0.14743466966301802,0.09756351996739211,0.11033373998948545,0.11738307035573124,0.09295810183345743,2289.346153846154,0.185,piecewise_linear,6,210,244,365,uniform,False
nhsn,"Pediatric RSV hospital admissions, ages 0-4",2024-2025,Delaware,baseline_oct_mar,Baseline Oct-Mar,544,2904,0.12266025073529407,0.13663511763457292,0.0,0.14829593759644788,0.09324182844982677,0.11197761895387826,0.11689218045112781,0.08561096395621744,2353.4102564102564,0.185,piecewise_linear,6,210,244,365,uniform,False
nhsn,"Pediatric RSV hospital admissions, ages 0-4",2024-2025,Delaware,early_sep_mar,Early Sep-Mar,544,3024,0.132862456617647,0.1437013480668471,0.0,0.1480441665240642,0.10168081712382508,0.1238799425142878,0.12005142857142856,0.09248345184931327,2353.4102564102564,0.185,piecewise_linear,6,210,244,365,uniform,False
