week_end,jurisdiction,rsv_ped_total,rsv_total,rsv_ped_0_4,season,in_fixed_window,state_abbrev,hhs_region,is_southeast,is_comparator
2024-07-13,Wyoming,0.0,0.0,,2024-2025,False,WY,8,False,False
2024-07-13,Nevada,,,,2024-2025,False,NV,9,False,False
2024-07-13,Washington,0.0,1.0,,2024-2025,False,WA,10,False,False
2024-07-13,Georgia,0.0,0.0,,2024-2025,False,GA,4,True,False
2024-07-13,Minnesota,,,,2024-2025,False,MN,5,False,True
2024-07-13,Missouri,0.0,0.0,,2024-2025,False,MO,7,False,False
2024-07-13,Idaho,,,,2024-2025,False,ID,10,False,False
2024-07-13,Connecticut,0.0,0.0,,2024-2025,False,CT,1,False,False
2024-07-13,Iowa,0.0,0.0,,2024-2025,False,IA,7,False,False
2024-07-13,North Dakota,0.0,0.0,,2024-2025,False,ND,8,False,False
2024-07-13,New Jersey,,,,2024-2025,False,NJ,2,False,False
2024-07-13,New Mexico,,,,2024-2025,False,NM,6,False,False
2024-07-13,Oregon,,,,2024-2025,False,OR,10,False,False
2024-07-13,Mississippi,0.0,0.0,,2024-2025,False,MS,4,True,False
2024-07-13,North Carolina,,,,2024-2025,False,NC,4,True,False
2024-07-13,California,0.0,0.0,,2024-2025,False,CA,9,False,False
2024-07-13,Montana,0.0,0.0,,2024-2025,False,MT,8,False,False
2024-07-13,Texas,0.0,0.0,,2024-2025,False,TX,6,False,False
2024-07-13,Wisconsin,,,,2024-2025,False,WI,5,False,False
2024-07-13,Alabama,0.0,0.0,,2024-2025,False,AL,4,True,False
2024-07-13,Colorado,0.0,0.0,,2024-2025,False,CO,8,False,False
2024-07-13,Rhode Island,,,,2024-2025,False,RI,1,False,False
2024-07-13,Arkansas,0.0,0.0,,2024-2025,False,AR,6,True,False
2024-07-13,Louisiana,0.0,0.0,,2024-2025,False,LA,6,True,False
2024-07-13,South Dakota,0.0,0.0,,2024-2025,False,SD,8,False,False
2024-07-13,New York,0.0,0.0,,2024-2025,False,NY,2,False,True
2024-07-13,Illinois,0.0,0.0,,2024-2025,False,IL,5,False,False
2024-07-13,West Virginia,,,,2024-2025,False,WV,3,False,False
2024-07-20,Nebraska,0.0,0.0,,2024-2025,False,NE,7,False,False
2024-07-20,Oklahoma,0.0,0.0,,2024-2025,False,OK,6,False,False
2024-07-20,Pennsylvania,1.0,1.0,,2024-2025,False,PA,3,False,False
2024-07-20,Vermont,,,,2024-2025,False,VT,1,False,False
2024-07-20,Hawaii,0.0,0.0,,2024-2025,False,HI,9,False,False
